"Rent increase dwellings; region"
""
"";"";"Topic"
"";"";"Rent increase including harmonisation";"Rent increase excluding harmonisation"
"Regions";"Periods";"%";"%"
"The Netherlands";"2015";"2.4";"1.9"
"The Netherlands";"2016";"1.9";"1.4"
"The Netherlands";"2017";"1.6";"1.2"
"The Netherlands";"2018";"2.3";"1.8"
"The Netherlands";"2019";"2.5";"2.1"
"The Netherlands";"2020";"2.9";"2.4"
"The Netherlands";"2021";"0.8";"0.3"
"The Netherlands";"2022";"3.0";"2.4"
"The Netherlands";"2023";"2.0";"1.3"
"The Netherlands";"2024";"5.4";"4.7"
"The Netherlands";"2025";"4.9";"4.1"
"Amsterdam";"2015";"3.1";"2.2"
"Amsterdam";"2016";"2.9";"1.7"
"Amsterdam";"2017";"2.5";"1.5"
"Amsterdam";"2018";"3.3";"2.1"
"Amsterdam";"2019";"3.4";"2.8"
"Amsterdam";"2020";"3.5";"2.5"
"Amsterdam";"2021";"1.1";"0.3"
"Amsterdam";"2022";"3.6";"2.5"
"Amsterdam";"2023";"2.8";"1.7"
"Amsterdam";"2024";"5.2";"4.1"
"Amsterdam";"2025";"4.8";"4.1"
"'s-Gravenhage (municipality)";"2015";"2.1";"1.8"
"'s-Gravenhage (municipality)";"2016";"2.1";"1.4"
"'s-Gravenhage (municipality)";"2017";"1.7";"1.6"
"'s-Gravenhage (municipality)";"2018";"2.8";"2.0"
"'s-Gravenhage (municipality)";"2019";"2.5";"2.3"
"'s-Gravenhage (municipality)";"2020";"3.6";"2.8"
"'s-Gravenhage (municipality)";"2021";"0.8";"0.2"
"'s-Gravenhage (municipality)";"2022";"3.4";"2.6"
"'s-Gravenhage (municipality)";"2023";"2.7";"2.0"
"'s-Gravenhage (municipality)";"2024";"5.4";"4.7"
"'s-Gravenhage (municipality)";"2025";"4.6";"3.9"
"Rotterdam";"2015";"2.8";"2.2"
"Rotterdam";"2016";"2.2";"1.3"
"Rotterdam";"2017";"1.8";"1.3"
"Rotterdam";"2018";"2.7";"2.1"
"Rotterdam";"2019";"3.2";"2.4"
"Rotterdam";"2020";"4.1";"2.8"
"Rotterdam";"2021";"1.2";"0.2"
"Rotterdam";"2022";"3.0";"2.5"
"Rotterdam";"2023";"2.6";"1.5"
"Rotterdam";"2024";"5.9";"4.9"
"Rotterdam";"2025";"5.3";"4.1"
"Utrecht (municipality)";"2015";"2.4";"2.0"
"Utrecht (municipality)";"2016";"1.5";"1.1"
"Utrecht (municipality)";"2017";"1.3";"1.0"
"Utrecht (municipality)";"2018";"2.8";"1.9"
"Utrecht (municipality)";"2019";"2.4";"2.0"
"Utrecht (municipality)";"2020";"2.6";"2.2"
"Utrecht (municipality)";"2021";"1.6";"0.8"
"Utrecht (municipality)";"2022";"3.5";"2.6"
"Utrecht (municipality)";"2023";"2.4";"1.8"
"Utrecht (municipality)";"2024";"5.8";"4.5"
"Utrecht (municipality)";"2025";"4.8";"4.2"
"Source: CBS"
